listing_id,product,price,original_price,condition,seller,time_posted,likes,listing_url,source_url,category,buyer_protection,delivery_info
1437415138,FSP HYPER K 600W Power Supply,RM120,,Lightly used,roblucci89,,,https://www.carousell.com.my/p/fsp-hyper-k-600w-power-supply-1437415138/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1434238318,Motherboard Asus B85M-G and intel Xeon E3-1230V3 3.30Ghz,RM160,RM200,Lightly used,rwiee,,6,https://www.carousell.com.my/p/motherboard-asus-b85m-g-and-intel-xeon-e3-1230v3-3-30ghz-1434238318/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1434547926,Colorful iGame GeForce RTX 5070 Ultra OC 12GB,"RM2,300",,Brand new,jaso.n,,12,https://www.carousell.com.my/p/colorful-igame-geforce-rtx-5070-ultra-oc-12gb-1434547926/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1435963187,XFX 9060 XT OC 16GB,"RM1,600",,Brand new,ryujinxz,,11,https://www.carousell.com.my/p/xfx-9060-xt-oc-16gb-1435963187/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1437400327,Gigabyte B450I AORUS PRO WIFI Motherboard,RM300,,Lightly used,kifkifkifkif,,2,https://www.carousell.com.my/p/gigabyte-b450i-aorus-pro-wifi-motherboard-1437400327/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1434977300,Gigabyte 750w Full Modular Psu,RM169,,Lightly used,deaglex,,8,https://www.carousell.com.my/p/gigabyte-750w-full-modular-psu-1434977300/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,False,
1437135546,PSU 750W 80+ Gold Semi-Modular Gigabyte,RM250,,Like new,wzwar91,,2,https://www.carousell.com.my/p/psu-750w-80-gold-semi-modular-gigabyte-1437135546/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1409965684,MSI GeForce RTX 3090 Ti GAMING X TRIO 24GB GDDR6X Graphics,"RM1,500",,Brand new,mightyflower-8df40f,,91,https://www.carousell.com.my/p/msi-geforce-rtx-3090-ti-gaming-x-trio-24gb-gddr6x-graphics-1409965684/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1437399530,ultra 9 285k combo z890m,"RM2,488",,Like new,YuYu531,,1,https://www.carousell.com.my/p/ultra-9-285k-combo-z890m-1437399530/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,False,
1436924634,Intel Core Ultra Processor 285K,"RM1,200",,Like new,ragnrally,,3,https://www.carousell.com.my/p/intel-core-ultra-processor-285k-1436924634/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1434137643,ASUS TUF RX6900XT TOP,"RM1,599","RM1,699",Like new,gh0stlike485397,,13,https://www.carousell.com.my/p/asus-tuf-rx6900xt-top-1434137643/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
1434385659,Adata XPG Lancer Blade 32GB (2x16GB) DDR5 6000MHz CL36 White RGB,"RM1,650",,Like new,dan18l,,14,https://www.carousell.com.my/p/adata-xpg-lancer-blade-32gb-2x16gb-ddr5-6000mhz-cl36-white-rgb-1434385659/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts,True,
