listing_id,product,price,condition,seller,time_posted,likes,listing_url,source_url,category
1437318847,Motherboard - GIGABYTE B150M-D3H,,,razzyla,,4,https://www.carousell.com.my/p/motherboard-gigabyte-b150m-d3h-1437318847/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1431747270,ASRock B550M-HDV Motherboard,,,tenzo117064883,,15,https://www.carousell.com.my/p/asrock-b550m-hdv-motherboard-1431747270/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1433211417,Maxsun ICraft RTX 3060 TI OC 8G,,,nazmi187,,18,https://www.carousell.com.my/p/maxsun-icraft-rtx-3060-ti-oc-8g-1433211417/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1437078092,Noctua U12A chromax,,,drinspire,,4,https://www.carousell.com.my/p/noctua-u12a-chromax-1437078092/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1385946466,ASrock Steel Legend B550M,,,oniomaniac.,,22,https://www.carousell.com.my/p/asrock-steel-legend-b550m-1385946466/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1436655659,ASUS TUF Gaming GeForce RTX 5090 Graphics Card,,,grandbear_b7e6a9,,5,https://www.carousell.com.my/p/asus-tuf-gaming-geforce-rtx-5090-graphics-card-1436655659/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1437359014,Colorful GeForce RTX 3060 12GB,,,chinsv.263,,4,https://www.carousell.com.my/p/colorful-geforce-rtx-3060-12gb-1437359014/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1432864096,Ryzen 3 3200G (Tray Unit),,,az_lean,,2,https://www.carousell.com.my/p/ryzen-3-3200g-tray-unit-1432864096/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1427524211,MSI GAMING GEFORCE RTX 5070 TI OC GRAPHICS CARD,,,neverhack.gg,,52,https://www.carousell.com.my/p/msi-gaming-geforce-rtx-5070-ti-oc-graphics-card-1427524211/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1437377540,Corsair 4000D Airflow Mid-Tower PC Case,,,shfkhwn,,4,https://www.carousell.com.my/p/corsair-4000d-airflow-mid-tower-pc-case-1437377540/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
